MUN_NAME,MUN_NAME_data_orig,MUN_CODE,UF_ABBREV,Modulo_fiscal_ha
Alta Floresta D'Oeste,Alta Floresta D'oeste,1100015,RO,NA
Ariquemes,Ariquemes,1100023,RO,60
Cabixi,Cabixi,1100031,RO,60
Cacoal,Cacoal,1100049,RO,60
Cerejeiras,Cerejeiras,1100056,RO,60
Colorado do Oeste,Colorado do Oeste,1100064,RO,60
Corumbiara,Corumbiara,1100072,RO,60
Costa Marques,Costa Marques,1100080,RO,60
Espigão D'Oeste,Espigão D'oeste,1100098,RO,NA
Guajará-Mirim,Guajará-Mirim,1100106,RO,60
Jaru,Jaru,1100114,RO,60
Ji-Paraná,Ji-Paraná,1100122,RO,60
Machadinho D'Oeste,Machadinho D'oeste,1100130,RO,NA
Nova Brasilândia D'Oeste,Nova Brasilândia D'oeste,1100148,RO,NA
Ouro Preto do Oeste,Ouro Preto do Oeste,1100155,RO,60
Pimenta Bueno,Pimenta Bueno,1100189,RO,60
Porto Velho,Porto Velho,1100205,RO,60
Presidente Médici,Presidente Médici,1100254,RO,60
Rio Crespo,Rio Crespo,1100262,RO,60
Rolim de Moura,Rolim de Moura,1100288,RO,60
Santa Luzia D'Oeste,Santa Luzia D'oeste,1100296,RO,NA
Vilhena,Vilhena,1100304,RO,60
São Miguel do Guaporé,São Miguel do Guaporé,1100320,RO,60
Nova Mamoré,Nova Mamoré,1100338,RO,60
Alvorada D'Oeste,Alvorada D'oeste,1100346,RO,NA
Alto Alegre dos Parecis,Alto Alegre do Parecis,1100379,RO,NA
Alto Paraíso,Alto Paraíso,1100403,RO,60
Buritis,Buritis,1100452,RO,60
Novo Horizonte do Oeste,Novo Horizonte do Ooeste,1100502,RO,NA
Cacaulândia,Cacaulândia,1100601,RO,60
Campo Novo de Rondônia,Campo Novo de Rondânia,1100700,RO,NA
Candeias do Jamari,Candeias do Jamari,1100809,RO,60
Castanheiras,Castanheiras,1100908,RO,60
Chupinguaia,Chupinguaia,1100924,RO,60
Cujubim,Cujubim,1100940,RO,60
Governador Jorge Teixeira,Governador Jorge Teixeira,1101005,RO,60
Itapuã do Oeste,Itapuã do Oeste,1101104,RO,60
Ministro Andreazza,Ministro Andreazza,1101203,RO,60
Mirante da Serra,Mirante da Serra,1101302,RO,60
Monte Negro,Monte Negro,1101401,RO,60
Nova União,Nova União,1101435,RO,60
Parecis,Parecis,1101450,RO,60
Pimenteiras do Oeste,Pimenteiras do Oeste,1101468,RO,60
Primavera de Rondônia,Primavera de Rondânia,1101476,RO,NA
São Felipe D'Oeste,São Felipe D'oeste,1101484,RO,NA
São Francisco do Guaporé,São Francisco do Guaporé,1101492,RO,60
Seringueiras,Seringueiras,1101500,RO,60
Teixeirópolis,Teixeirópolis,1101559,RO,60
Theobroma,Theobroma,1101609,RO,60
Urupá,Urupá,1101708,RO,60
Vale do Anari,Vale do Anari,1101757,RO,60
Vale do Paraíso,Vale do Paraíso,1101807,RO,60
Acrelândia,Acrelândia,1200013,AC,100
Assis Brasil,Assis Brasil,1200054,AC,100
Brasiléia,Brasiléia,1200104,AC,100
Bujari,Bujari,1200138,AC,70
Capixaba,Capixaba,1200179,AC,70
Cruzeiro do Sul,Cruzeiro do Sul,1200203,AC,100
Epitaciolândia,Epitaciolândia,1200252,AC,100
Feijó,Feijó,1200302,AC,100
Jordão,Jordão,1200328,AC,100
Mâncio Lima,Mâncio Lima,1200336,AC,100
Manoel Urbano,Manoel Urbano,1200344,AC,100
Marechal Thaumaturgo,Marechal Thaumaturgo,1200351,AC,100
Plácido de Castro,Plácido de Castro,1200385,AC,100
Porto Walter,Porto Walter,1200393,AC,100
Rio Branco,Rio Branco,1200401,AC,70
Rodrigues Alves,Rodrigues Alves,1200427,AC,100
Santa Rosa do Purus,Santa Rosa do Purus,1200435,AC,100
Senador Guiomard,Senador Guiomard,1200450,AC,100
Sena Madureira,Sena Madureira,1200500,AC,100
Tarauacá,Tarauacá,1200609,AC,100
Xapuri,Xapuri,1200708,AC,100
Porto Acre,Porto Acre,1200807,AC,70
Alvarães,Alvarães,1300029,AM,100
Amaturá,Amaturá,1300060,AM,100
Anamã,Anamã,1300086,AM,100
Anori,Anori,1300102,AM,100
Apuí,Apuí,1300144,AM,100
Atalaia do Norte,Atalaia do Norte,1300201,AM,100
Autazes,Autazes,1300300,AM,80
Barcelos,Barcelos,1300409,AM,100
Barreirinha,Barreirinha,1300508,AM,80
