MUN_CODE,MUN_NAME,UF_ABBREV,Modulo_fiscal_ha
1100015,Alta Floresta D'Oeste,RO,60
1100023,Ariquemes,RO,60
1100031,Cabixi,RO,60
1100049,Cacoal,RO,60
1100056,Cerejeiras,RO,60
1100064,Colorado do Oeste,RO,60
1100072,Corumbiara,RO,60
1100080,Costa Marques,RO,60
1100098,Espigão D'Oeste,RO,60
1100106,Guajará-Mirim,RO,60
1100114,Jaru,RO,60
1100122,Ji-Paraná,RO,60
1100130,Machadinho D'Oeste,RO,60
1100148,Nova Brasilândia D'Oeste,RO,60
1100155,Ouro Preto do Oeste,RO,60
1100189,Pimenta Bueno,RO,60
1100205,Porto Velho,RO,60
1100254,Presidente Médici,RO,60
1100262,Rio Crespo,RO,60
1100288,Rolim de Moura,RO,60
1100296,Santa Luzia D'Oeste,RO,60
1100304,Vilhena,RO,60
1100320,São Miguel do Guaporé,RO,60
1100338,Nova Mamoré,RO,60
1100346,Alvorada D'Oeste,RO,60
1100379,Alto Alegre dos Parecis,RO,60
1100403,Alto Paraíso,RO,60
1100452,Buritis,RO,60
1100502,Novo Horizonte do Oeste,RO,60
1100601,Cacaulândia,RO,60
1100700,Campo Novo de Rondônia,RO,60
1100809,Candeias do Jamari,RO,60
1100908,Castanheiras,RO,60
1100924,Chupinguaia,RO,60
1100940,Cujubim,RO,60
1101005,Governador Jorge Teixeira,RO,60
1101104,Itapuã do Oeste,RO,60
1101203,Ministro Andreazza,RO,60
1101302,Mirante da Serra,RO,60
1101401,Monte Negro,RO,60
1101435,Nova União,RO,60
1101450,Parecis,RO,60
1101468,Pimenteiras do Oeste,RO,60
1101476,Primavera de Rondônia,RO,60
1101484,São Felipe D'Oeste,RO,60
1101492,São Francisco do Guaporé,RO,60
1101500,Seringueiras,RO,60
1101559,Teixeirópolis,RO,60
1101609,Theobroma,RO,60
1101708,Urupá,RO,60
1101757,Vale do Anari,RO,60
1101807,Vale do Paraíso,RO,60
1200013,Acrelândia,AC,100
1200054,Assis Brasil,AC,100
1200104,Brasiléia,AC,100
1200138,Bujari,AC,70
1200179,Capixaba,AC,70
1200203,Cruzeiro do Sul,AC,100
1200252,Epitaciolândia,AC,100
1200302,Feijó,AC,100
1200328,Jordão,AC,100
1200336,Mâncio Lima,AC,100
1200344,Manoel Urbano,AC,100
1200351,Marechal Thaumaturgo,AC,100
1200385,Plácido de Castro,AC,100
1200393,Porto Walter,AC,100
1200401,Rio Branco,AC,70
1200427,Rodrigues Alves,AC,100
1200435,Santa Rosa do Purus,AC,100
1200450,Senador Guiomard,AC,100
1200500,Sena Madureira,AC,100
1200609,Tarauacá,AC,100
1200708,Xapuri,AC,100
1200807,Porto Acre,AC,70
1300029,Alvarães,AM,100
1300060,Amaturá,AM,100
1300086,Anamã,AM,100
1300102,Anori,AM,100
1300144,Apuí,AM,100
1300201,Atalaia do Norte,AM,100
1300300,Autazes,AM,80
1300409,Barcelos,AM,100
1300508,Barreirinha,AM,80
1300607,Benjamin Constant,AM,100
1300631,Beruri,AM,80
1300680,Boa Vista do Ramos,AM,80
1300706,Boca do Acre,AM,100
1300805,Borba,AM,100
1300839,Caapiranga,AM,80
1300904,Canutama,AM,100
1301001,Carauari,AM,100
1301100,Careiro,AM,80
1301159,Careiro da Várzea,AM,80
1301209,Coari,AM,100
1301308,Codajás,AM,100
